strain_id	selection_tool	sample_type	country	state	phylum	class	order	family	genus	species	sa_primary_test	sa_confirmation_test	sa_confirmed_activity	sa_purity_test	sa_purity_confirmed	bs_primary_test	bs_confirmation_test	bs_confirmed_activity	bs_purity_test	bs_purity_confirmed	sa_ml_disease_ctrl	bs_ml_disease_ctrl
SID00022	machine_learning_validation	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus altitudinis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	43.6	20.0
SID00023	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00024	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax paradoxus_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00025	spectrum	Root	United States	Minnesota	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00026	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00027	diversity	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00028	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00029	spectrum	Soil	United States	New York	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia aspalathi	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00030	diversity	Core	United States	North Carolina	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus boronitolerans	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00031	diversity	Root	United States	Missouri	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	B6	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00032	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00033	genome_similarity	Root	United States	Illinois	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00034	diversity	Core	United States	Iowa	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea vagans_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00035	spectrum	Tuber	United States	North Carolina	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium pusense	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00036	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00037	machine_learning_validation	Excrement	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A pseudomycoides	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-4.2	80.0
SID00038	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00039	diversity	Soil	Uganda	Soroti	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	1.0	1.0	1.0	1.0		
SID00040	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp900109805	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00041	machine_learning_validation	Insect	United States	Illinois	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-4.8	25.0
SID00042	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00043	genome_similarity	Core	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00044	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00045	genome_similarity	Leaf	United States	North Carolina	Firmicutes_I	Bacilli_A	Paenibacillales	Paenibacillaceae	Paenibacillus_B	Paenibacillus_B sp001894745	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00046	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00047	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00048	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium hydrocarbonoxydans_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00049	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00050	spectrum	Core	United States	Iowa	Actinobacteriota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00051	diversity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Domibacillaceae	Domibacillus	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00052	machine_learning_validation	Insect	United States	North Carolina	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	25.0	55.0
SID00053	spectrum	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	1.0	1.0	1.0	0.0		
SID00054	spectrum	Root	Uganda	Nebbi	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00055	spectrum	Root	Uganda	Nebbi	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00056	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_B	Klebsiella_B aerogenes	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00057	diversity	Root	United States	Missouri	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00058	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00059	diversity	Grainbin Dust	United States	Iowa	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00060	machine_learning_validation	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001547895	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0	100.0	40.0
SID00061	spectrum	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum	Herbaspirillum huttiense	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00062	diversity	Core	United States	Hawaii	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus xylanilyticus_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00063	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter sp000374865	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00064	diversity	Other	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_P	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00065	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00066	machine_learning_validation	Grainbin Dust	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae_A	Bacillus_X	Bacillus_X frigoritolerans	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	54.2	75.0
SID00067	diversity	Other	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E chlororaphis	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0		
SID00068	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum	Herbaspirillum huttiense	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00069	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00070	genome_similarity	Core	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00071	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00072	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001642705	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00073	diversity	Root	United States	Ohio	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E chlororaphis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00074	spectrum	Core	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phenoliruptrix	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00075	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00076	machine_learning_validation	Insect	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	11.9	55.0
SID00077	machine_learning_validation	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001547895	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0	100.0	50.0
SID00078	genome_similarity	Soil	United States	California	Firmicutes_I	Bacilli_A	Paenibacillales	Paenibacillaceae	Paenibacillus_B	Paenibacillus_B sp001894745	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00079	machine_learning_validation	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	51.6	75.7
SID00080	machine_learning_validation	Core	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	53.0	45.0
SID00081	genome_similarity	Soil	United States	Pennsylvania	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00082	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00083	diversity	Other	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A toyonensis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00084	diversity	Leaf	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	Curtobacterium pusillum	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00085	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00086	spectrum	Soil	United States	Colorado	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A mycoides	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00087	diversity	Root	United States	Missouri	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax paradoxus_A	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00088	spectrum	Soil	United States	Florida	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_T	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00089	spectrum	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00090	diversity	Root	United States	Indiana	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00091	diversity	Root	United States	Illinois	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_C	Bacillus_C megaterium	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00092	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001259595	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00093	diversity	Other	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00094	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00095	genome_similarity	Tuber	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00096	spectrum	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00097	genome_similarity	Soil	United States	Montana	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00098	diversity	Plant	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00099	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00100	spectrum	Soil	United States	Colorado	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A toyonensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00101	diversity	Root	United States	Illinois	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00102	spectrum	Leaf	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00103	diversity	Leaf	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	Curtobacterium sp001742745	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00104	diversity	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E brassicacearum_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00105	machine_learning_validation	Insect	United States	Illinois	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces_B	Streptomyces_B glauciniger	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	11.9	30.0
SID00106	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00107	machine_learning_validation	Soil	United States	New York	Actinobacteriota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus sp001040705	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	49.4	60.0
SID00108	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp000493015	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00109	diversity	Root	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00110	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella planticola	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00111	diversity	Insect	United States	North Carolina	Firmicutes_I	Bacilli_A	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polysaccharolyticus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00112	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00113	diversity	Root	United States	Ohio	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E chlororaphis	1	1	1	1	1	1.0	0.0	0.0	0.0	0.0		
SID00114	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_F	Pseudomonas_F otitidis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00115	spectrum	Other	United States	New Mexico	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0		
SID00116	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00117	machine_learning_validation	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus altitudinis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	23.7	80.0
SID00118	diversity	Core	United States	North Carolina	Firmicutes_I	Bacilli_A	Paenibacillales	Paenibacillaceae	Paenibacillus_B	Paenibacillus_B sp001894745	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00119	diversity	Core	United States	North Carolina	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus pakistanensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00120	spectrum	Insect	United States	Illinois	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter_D	Enterobacter_D kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00121	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	0.0	0.0	0.0	0.0		
SID00122	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00123	spectrum	Root	Uganda	Nebbi	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00124	machine_learning_validation	Insect	United States	North Carolina	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium rhizogenes_B	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	45.8	40.0
SID00125	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax paradoxus_A	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00126	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter sp001423565	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
