strain_id	bgc_id	fam_cluster_id	clan_cluster_id	product_class	top_kcb
MIBiG	BGC0000626.1	ripps11688	ripps11688		
MIBiG	BGC0000638.1	terpene5794	terpene7676		
MIBiG	BGC0000639.1	terpene1589	terpene7676		
MIBiG	BGC0000641.1	terpene1589	terpene7676		
MIBiG	BGC0000642.1	terpene1589	terpene7676		
MIBiG	BGC0000663.1	terpene11087	terpene7676		
MIBiG	BGC0000836.1	others12386	others3580		
MIBiG	BGC0000838.1	others891	others3580		
MIBiG	BGC0000888.1	others12702	others12702		
MIBiG	BGC0000924.1	others2810	others3580		
MIBiG	BGC0000936.1	others1278	others3580		
MIBiG	BGC0000940.1	others12491	others3580		
MIBiG	BGC0000941.1	others12491	others3580		
MIBiG	BGC0000942.1	others4095	others2542		
MIBiG	BGC0000961.1	nrps12510	nrps10750		
MIBiG	BGC0000984.1	pksnrp12529	pksnrp113		
MIBiG	BGC0001031.1	pksother10628	pksother10748		
MIBiG	BGC0001032.1	pksother10628	pksother10748		
MIBiG	BGC0001056.1	nrps4512	nrps10750		
MIBiG	BGC0001059.1	nrps4047	nrps4047		
MIBiG	BGC0001059.1	nrps4047	nrps4047		
MIBiG	BGC0001059.1	pksnrp5375	pksnrp5375		
MIBiG	BGC0001059.1	pksnrp5375	pksnrp5375		
MIBiG	BGC0001072.1	pksother13131	pksother3708		
MIBiG	BGC0001089.1	pksother3582	pksother10748		
MIBiG	BGC0001089.1	pksother3582	pksother10748		
MIBiG	BGC0001089.1	pksother3582	pksother10748		
MIBiG	BGC0001089.1	pksnrp3582	pksnrp10748		
MIBiG	BGC0001089.1	pksnrp3582	pksnrp10748		
MIBiG	BGC0001089.1	pksnrp3582	pksnrp10748		
MIBiG	BGC0001089.1	nrps3582	nrps10750		
MIBiG	BGC0001089.1	nrps3582	nrps10750		
MIBiG	BGC0001089.1	nrps3582	nrps10750		
MIBiG	BGC0001090.1	pksother7422	pksother3708		
MIBiG	BGC0001090.1	pksother7422	pksother3708		
MIBiG	BGC0001090.1	pksother7422	pksother3708		
MIBiG	BGC0001090.1	nrps5113	nrps5113		
MIBiG	BGC0001090.1	nrps5113	nrps5113		
MIBiG	BGC0001090.1	nrps5113	nrps5113		
MIBiG	BGC0001090.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001090.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001090.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001094.1	pksother1760	pksother3708		
MIBiG	BGC0001095.1	nrps5113	nrps5113		
MIBiG	BGC0001098.1	pksother12634	pksother3708		
MIBiG	BGC0001098.1	pksother12634	pksother3708		
MIBiG	BGC0001098.1	pksother12634	pksother3708		
MIBiG	BGC0001098.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001098.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001098.1	pksnrp10719	pksnrp113		
MIBiG	BGC0001098.1	nrps5113	nrps5113		
MIBiG	BGC0001098.1	nrps5113	nrps5113		
MIBiG	BGC0001098.1	nrps5113	nrps5113		
MIBiG	BGC0001103.1	pksother7422	pksother3708		
MIBiG	BGC0001103.1	pksother7422	pksother3708		
MIBiG	BGC0001103.1	nrps5113	nrps5113		
MIBiG	BGC0001103.1	nrps5113	nrps5113		
MIBiG	BGC0001112.1	nrps12648	nrps10750		
MIBiG	BGC0001112.1	nrps12648	nrps10750		
MIBiG	BGC0001112.1	pksother12648	pksother3708		
MIBiG	BGC0001112.1	pksother12648	pksother3708		
MIBiG	BGC0001149.1	nrps12678	nrps10750		
MIBiG	BGC0001152.1	nrps6917	nrps10750		
MIBiG	BGC0001153.1	nrps6715	nrps10750		
MIBiG	BGC0001184.1	others12702	others12702		
MIBiG	BGC0001185.1	nrps4601	nrps10750		
MIBiG	BGC0001192.1	nrps6715	nrps10750		
MIBiG	BGC0001208.1	nrps3052	nrps10750		
MIBiG	BGC0001308.1	pksother11768	pksother3708		
MIBiG	BGC0001312.1	nrps1603	nrps10750		
MIBiG	BGC0001346.1	nrps12823	nrps10750		
MIBiG	BGC0001347.1	nrps3052	nrps10750		
MIBiG	BGC0001366.1	pksother11133	pksother3708		
MIBiG	BGC0001383.1	pksother8575	pksother3708		
MIBiG	BGC0001384.1	pksother13171	pksother3708		
MIBiG	BGC0001386.1	pksother11190	pksother3708		
MIBiG	BGC0001391.1	ripps9435	ripps3447		
MIBiG	BGC0001437.1	others3087	others3580		
MIBiG	BGC0001437.1	others3087	others3580		
MIBiG	BGC0001437.1	nrps3087	nrps10750		
MIBiG	BGC0001437.1	nrps3087	nrps10750		
MIBiG	BGC0001470.1	pksother10628	pksother10748		
MIBiG	BGC0001498.1	others9581	others3580		
MIBiG	BGC0001499.1	others4447	others3580		
MIBiG	BGC0001509.1	nrps5742	nrps10750		
MIBiG	BGC0001512.1	pksother11133	pksother3708		
MIBiG	BGC0001513.1	pksother11836	pksother3708		
MIBiG	BGC0001555.1	others4447	others3580		
MIBiG	BGC0001572.1	others13008	others3580		
MIBiG	BGC0001596.1	pksother13171	pksother3708		
MIBiG	BGC0001599.1	nrps1784	nrps10750		
MIBiG	BGC0001625.1	pksother11190	pksother3708		
MIBiG	BGC0001637.1	nrps3063	nrps10750		
MIBiG	BGC0001650.1	nrps2594	nrps10750		
MIBiG	BGC0001657.1	nrps13080	nrps10750		
MIBiG	BGC0001669.1	ripps6592	ripps3447		
MIBiG	BGC0001710.1	nrps3087	nrps10750		
MIBiG	BGC0001710.1	nrps3087	nrps10750		
MIBiG	BGC0001710.1	others3087	others3580		
MIBiG	BGC0001710.1	others3087	others3580		
MIBiG	BGC0001711.1	nrps1875	nrps10750		
MIBiG	BGC0001711.1	nrps1875	nrps10750		
MIBiG	BGC0001711.1	pksnrp1875	pksnrp113		
MIBiG	BGC0001711.1	pksnrp1875	pksnrp113		
MIBiG	BGC0001721.1	nrps2040	nrps2040		
MIBiG	BGC0001723.1	pksother13131	pksother3708		
MIBiG	BGC0001727.1	ripps6908	ripps3447		
MIBiG	BGC0001769.1	pksother13171	pksother3708		
MIBiG	BGC0001805.1	nrps3063	nrps10750		
MIBiG	BGC0001806.1	nrps4382	nrps4382		
SID00205	SID00205_ctg0.region001	nrps8061	nrps8061	NRPS	Lichenysin
SID00205	SID00205_ctg1.region001	others7677	others3580	other	Bacilysin
SID00205	SID00205_ctg2.region001	nrps11250	nrps11250	NRPS	Surfactin
SID00205	SID00205_ctg3.region001	ripps3427	ripps3447	head_to_tail	Sporulation killing factor skfA
SID00205	SID00205_ctg4.region002	pksother8188	pksother3708	T3PKS	None
SID00205	SID00205_ctg5.region001	terpene8191	terpene7676	terpene	None
SID00205	SID00205_ctg6.region001	ripps3447	ripps3447	bacteriocin	None
SID00205	SID00205_ctg7.region001	nrps3455	nrps3455	NRPS	Surfactin
SID00205	SID00205_ctg8.region001	others3454	others3454	betalactone	None
SID00205	SID00205_ctg9.region001	others8179	others3580	betalactone	Fengycin
SID00205	SID00205_ctg10.region001	others7676	others3580	terpene	Carotenoid
SID00205	SID00205_ctg11.region001	terpene8182	terpene7676	terpene	Carotenoid
SID01197	SID01197_ctg0.region001	others6840	others6840	siderophore	None
SID01197	SID01197_ctg1.region002	terpene502	terpene7676	terpene	Surfactin
SID01197	SID01197_ctg2.region001	others6397	others3580	phosphonate	None
SID01197	SID01197_ctg3.region001	terpene7294	terpene7676	terpene	None
SID01197	SID01197_ctg4.region001	pksother11519	pksother11519	T3PKS	None
SID01197	SID01197_ctg5.region001	terpene6525	terpene7676	terpene	Carotenoid
SID01197	SID01197_ctg6.region001	ripps11321	ripps3447	bacteriocin	None
SID01197	SID01197_ctg7.region001	ripps18	ripps3447	bacteriocin	None
SID00104	SID00104_ctg0.region001	others19	others3580	hserlactone	Corpeptin
SID00104	SID00104_ctg1.region001	nrps19	nrps10750	hserlactone	Corpeptin
SID00104	SID00104_ctg2.region001	others6527	others4416	arylpolyene	APE Vf
SID00104	SID00104_ctg3.region001	nrps21	nrps10750	NRPS	Pyoverdine
SID00104	SID00104_ctg4.region001	ripps22	ripps3447	bacteriocin	None
SID00104	SID00104_ctg5.region001	others6050	others2553	NAGGN	None
SID00104	SID00104_ctg6.region001	nrps1528	nrps1528	NRPS-like	Mangotoxin
SID00104	SID00104_ctg7.region001	nrps25	nrps10750	NRPS	None
SID00104	SID00104_ctg8.region001	nrps1521	nrps2554	NRPS	Pyoverdine
SID00104	SID00104_ctg9.region001	nrps27	nrps10750	NRPS	Cupriachelin
SID00104	SID00104_ctg10.region001	nrps28	nrps10750	NRPS	None
SID00104	SID00104_ctg11.region001	others1266	others4853	betalactone	Fengycin
SID00104	SID00104_ctg12.region001	nrps30	nrps10750	NRPS	Ralsolamycin
SID00104	SID00104_ctg13.region001	nrps12678	nrps10750	NRPS	Brabantamide
SID00104	SID00104_ctg14.region001	nrps32	nrps10750	NRPS	Nunapeptin / nunamycin
SID00104	SID00104_ctg15.region001	nrps33	nrps10750	NRPS	Anikasin
SID00104	SID00104_ctg16.region001	nrps34	nrps10750	NRPS	Nataxazole
SID00104	SID00104_ctg17.region001	nrps35	nrps10750	NRPS	Bananamides
SID00104	SID00104_ctg18.region001	nrps36	nrps10750	NRPS	Xenotetrapeptide
SID00104	SID00104_ctg19.region001	nrps37	nrps10750	NRPS	Rhizomide A / rhizomide B / rhizomide C
SID00104	SID00104_ctg20.region001	nrps38	nrps10750	NRPS	Bicornutin
SID00104	SID00104_ctg21.region001	nrps39	nrps10750	NRPS	Nunapeptin / nunamycin
SID01044	SID01044_ctg0.region001	nrps40	nrps10750	NRPS-like	None
SID01044	SID01044_ctg1.region001	others8021	others3580	siderophore	None
SID01044	SID01044_ctg2.region001	nrps1532	nrps2554	NRPS	Pyoverdine
SID01044	SID01044_ctg3.region001	others1266	others4853	betalactone	Fengycin
SID01044	SID01044_ctg4.region002	others45	others3580	hserlactone	None
SID01044	SID01044_ctg5.region001	ripps1534	ripps1534	bacteriocin	None
SID01044	SID01044_ctg6.region001	ripps46	ripps3447	thiopeptide	Lipopolysaccharide
SID01044	SID01044_ctg7.region001	others1531	others2553	NAGGN	None
SID01044	SID01044_ctg8.region001	nrps48	nrps10750	NRPS	None
SID01044	SID01044_ctg9.region001	ripps1271	ripps4223	bacteriocin	None
SID01044	SID01044_ctg10.region001	others1533	others4416	arylpolyene	APE Vf
SID01044	SID01044_ctg11.region001	nrps51	nrps10750	NRPS	Viscosin
SID01044	SID01044_ctg12.region001	nrps3058	nrps10750	NRPS-like	Mangotoxin
SID01044	SID01044_ctg13.region001	nrps53	nrps10750	NRPS	Pyoverdine
SID01044	SID01044_ctg14.region001	others63	others3580	hserlactone	None
SID01044	SID01044_ctg15.region001	nrps55	nrps10750	NRPS	None
SID00462	SID00462_ctg0.region001	ripps1534	ripps1534	bacteriocin	None
SID00462	SID00462_ctg1.region001	nrps57	nrps10750	NRPS	Pyoverdine
SID00462	SID00462_ctg2.region001	ripps6005	ripps6005	bacteriocin	Bacillomycin
SID00462	SID00462_ctg3.region001	others59	others1526	butyrolactone	None
SID00462	SID00462_ctg4.region001	others6527	others4416	arylpolyene	APE Vf
SID00462	SID00462_ctg5.region001	others6050	others2553	NAGGN	None
SID00462	SID00462_ctg6.region002	nrps6073	nrps2554	NRPS	Pyoverdine
SID00462	SID00462_ctg7.region001	others63	others3580	hserlactone	None
SID00462	SID00462_ctg8.region001	ripps1271	ripps4223	bacteriocin	None
SID00462	SID00462_ctg9.region001	others6009	others3580	siderophore	None
SID00462	SID00462_ctg10.region001	nrps6013	nrps10750	NRPS-like	Mangotoxin
SID00462	SID00462_ctg11.region001	nrps6004	nrps10750	NRPS	Pyoverdine
SID00462	SID00462_ctg12.region001	nrps1387	nrps10750	NRPS	None
SID00366	SID00366_ctg0.region002	others12386	others3580	arylpolyene	APE Ec
SID00366	SID00366_ctg1.region001	nrps9693	nrps10750	NRPS	Enterobactin
SID00366	SID00366_ctg2.region001	ripps6125	ripps6125	thiopeptide	O-antigen
SID00366	SID00366_ctg3.region001	others10111	others3580	siderophore	Aerobactin
SID00366	SID00366_ctg4.region001	others73	others3580	butyrolactone	None
SID00366	SID00366_ctg5.region001	others74	others3580	hserlactone	None
SID00405	SID00405_ctg0.region001	terpene1919	terpene1919	terpene	None
SID00405	SID00405_ctg1.region001	others2023	others1010	phosphonate	Phosphinothricin
SID00405	SID00405_ctg2.region001	others1055	others3580	CDPS	None
SID00405	SID00405_ctg3.region001	ripps1789	ripps1789	bacteriocin	None
SID00405	SID00405_ctg4.region001	terpene1772	terpene1772	terpene	None
SID00405	SID00405_ctg5.region001	others1768	others3580	other	Pyrrolnitrin
SID00405	SID00405_ctg6.region001	terpene1176	terpene7676	terpene	None
SID00405	SID00405_ctg7.region001	others2019	others2019	arylpolyene	APE Vf
SID00405	SID00405_ctg8.region001	others83	others3580	acyl_amino_acids	Pyoverdine
SID00405	SID00405_ctg9.region001	others84	others3580	phenazine	Lomofungin
SID00405	SID00405_ctg10.region001	nrps1775	nrps1775	phenazine	Lomofungin
SID00405	SID00405_ctg11.region001	terpene1183	terpene7676	terpene	None
SID00405	SID00405_ctg12.region001	nrps86	nrps1790	NRPS	Pyochelin
SID00405	SID00405_ctg13.region001	terpene2046	terpene7676	terpene	N-acyloxyacyl glutamine
SID00405	SID00405_ctg14.region001	others1786	others1104	hserlactone	None
SID00855	SID00855_ctg0.region003	others4641	others3580	siderophore	Desferrioxamine E
SID00855	SID00855_ctg1.region002	others5791	others3580	hserlactone	None
SID00855	SID00855_ctg2.region001	ripps9567	ripps6125	thiopeptide	O-antigen
SID00855	SID00855_ctg3.region001	nrps92	nrps10750	NRPS	None
SID00855	SID00855_ctg4.region001	nrps93	nrps10750	NRPS	Yersiniabactin
SID00855	SID00855_ctg5.region001	nrps94	nrps10750	NRPS	Tilivalline
SID00855	SID00855_ctg6.region001	nrps95	nrps10750	NRPS	Colicin V
SID00855	SID00855_ctg7.region001	nrps96	nrps10750	NRPS	Rhizomide A / rhizomide B / rhizomide C
SID00855	SID00855_ctg8.region001	others9652	others3580	butyrolactone	None
SID00855	SID00855_ctg9.region001	nrps98	nrps10750	NRPS-like	Rhizomide A / rhizomide B / rhizomide C
SID00855	SID00855_ctg10.region001	nrps99	nrps10750	NRPS	Glidopeptin
SID01064	SID01064_ctg0.region001	nrps496	nrps10750	NRPS-like	None
SID01064	SID01064_ctg1.region001	nrps767	nrps767	NRPS	None
SID01064	SID01064_ctg2.region001	others509	others609	resorcinol	None
SID01064	SID01064_ctg3.region001	nrps761	nrps10750	NRPS	Serobactins
SID01064	SID01064_ctg4.region001	pksnrp764	pksnrp113	NRPS;T1PKS	Delftibactin
SID01064	SID01064_ctg5.region001	pksother764	pksother3708	NRPS;T1PKS	Delftibactin
SID01064	SID01064_ctg6.region001	nrps764	nrps10750	NRPS;T1PKS	Delftibactin
SID01064	SID01064_ctg7.region001	nrps766	nrps10750	NRPS	Pyoverdine
SID01064	SID01064_ctg8.region001	others765	others115	resorcinol	None
SID01064	SID01064_ctg9.region001	nrps634	nrps10750	NRPS	None
SID01064	SID01064_ctg10.region001	others508	others508	hserlactone	Obafluorin
SID01064	SID01064_ctg11.region001	ripps510	ripps6249	bacteriocin	None
SID01064	SID01064_ctg12.region001	terpene511	terpene7676	terpene	None
SID01064	SID01064_ctg13.region001	others762	others126	arylpolyene	None
SID01031	SID01031_ctg0.region001	nrps6042	nrps6042	NRPS	WAP-8294A2 (lotilibcin)
SID01031	SID01031_ctg1.region001	pksnrp113	pksnrp113	NRPS;T1PKS	Colanic acid
SID01031	SID01031_ctg2.region001	pksother113	pksother614	NRPS;T1PKS	Colanic acid
SID01031	SID01031_ctg3.region001	nrps113	nrps10750	NRPS;T1PKS	Colanic acid
SID01031	SID01031_ctg4.region001	ripps3069	ripps3447	LAP	None
SID01031	SID01031_ctg5.region001	others115	others115	resorcinol	None
SID01031	SID01031_ctg6.region001	others116	others126	arylpolyene	None
SID01031	SID01031_ctg7.region001	terpene511	terpene7676	terpene	None
SID01031	SID01031_ctg8.region001	ripps510	ripps6249	bacteriocin	None
SID01031	SID01031_ctg9.region001	others509	others609	resorcinol	None
SID01031	SID01031_ctg10.region001	others508	others508	hserlactone	None
SID01031	SID01031_ctg11.region001	nrps121	nrps121	NRPS	Taiwachelin
SID01031	SID01031_ctg12.region001	nrps927	nrps10750	NRPS	None
SID01031	SID01031_ctg13.region001	nrps477	nrps10750	NRPS	Delftibactin
SID00059	SID00059_ctg0.region001	terpene511	terpene7676	terpene	None
SID00059	SID00059_ctg1.region001	ripps125	ripps3447	thiopeptide;bacteriocin	None
SID00059	SID00059_ctg2.region001	others126	others126	arylpolyene	None
SID00059	SID00059_ctg3.region002	others127	others609	resorcinol	None
SID00059	SID00059_ctg4.region001	others128	others3580	betalactone	Fengycin
SID00059	SID00059_ctg5.region001	ripps129	ripps3447	bacteriocin	None
SID00059	SID00059_ctg6.region001	nrps130	nrps10750	NRPS	Taiwachelin
SID00059	SID00059_ctg7.region001	others6250	others6250	hserlactone	None
SID00059	SID00059_ctg8.region001	others115	others115	resorcinol	Isopropylstilbene
SID00059	SID00059_ctg9.region001	nrps496	nrps10750	NRPS-like	None
SID00059	SID00059_ctg10.region001	nrps134	nrps10750	NRPS	None
SID00991	SID00991_ctg0.region001	ripps135	ripps3447	lassopeptide	None
SID00991	SID00991_ctg1.region001	nrps136	nrps10750	NRPS	Bacillibactin
SID00991	SID00991_ctg2.region001	ripps137	ripps3447	lassopeptide	None
SID01093	SID01093_ctg0.region001	others1266	others4853	betalactone	Fengycin
SID01093	SID01093_ctg1.region001	others6527	others4416	arylpolyene	APE Vf
SID01093	SID01093_ctg2.region001	nrps6073	nrps2554	NRPS	Pyoverdine
SID01093	SID01093_ctg3.region001	others1273	others3580	siderophore	None
SID01093	SID01093_ctg4.region001	ripps7396	ripps7396	bacteriocin	None
SID01093	SID01093_ctg5.region001	nrps1528	nrps1528	NRPS-like	Mangotoxin
SID01093	SID01093_ctg6.region001	nrps6311	nrps10750	NRPS	Pyoverdine
SID01093	SID01093_ctg7.region001	others6050	others2553	NAGGN	None
SID00688	SID00688_ctg0.region001	nrps2078	nrps10750	NRPS	Turnerbactin
SID00688	SID00688_ctg1.region001	others147	others3580	hserlactone	None
SID00688	SID00688_ctg2.region001	terpene5279	terpene7676	terpene	None
SID00096	SID00096_ctg0.region001	others1768	others3580	other	Pyrrolnitrin
SID00096	SID00096_ctg1.region001	nrps1775	nrps1775	NRPS-like	None
SID00096	SID00096_ctg2.region001	terpene1919	terpene1919	terpene	None
SID00096	SID00096_ctg3.region001	terpene1772	terpene1772	terpene	None
SID00096	SID00096_ctg4.region001	ripps1789	ripps1789	bacteriocin	None
SID00096	SID00096_ctg5.region001	others154	others3580	acyl_amino_acids	Pyoverdine
SID00096	SID00096_ctg6.region001	others1055	others3580	CDPS	None
SID00096	SID00096_ctg7.region001	others2023	others1010	phosphonate	Phosphinothricin
SID00096	SID00096_ctg8.region001	nrps157	nrps10750	NRPS	None
SID00096	SID00096_ctg9.region001	terpene1183	terpene7676	terpene	None
SID00096	SID00096_ctg10.region001	terpene2046	terpene7676	terpene	N-acyloxyacyl glutamine
SID00096	SID00096_ctg11.region001	terpene1176	terpene7676	terpene	None
SID00096	SID00096_ctg12.region001	nrps86	nrps1790	NRPS	Pyochelin
SID00096	SID00096_ctg13.region001	others162	others3580	phenazine	Lomofungin
SID00096	SID00096_ctg14.region001	others1786	others1104	hserlactone	None
SID00543	SID00543_ctg0.region003	pksother166	pksother3708	T3PKS	None
SID00543	SID00543_ctg1.region001	ripps164	ripps3447	bacteriocin;LAP	None
SID00543	SID00543_ctg2.region002	terpene165	terpene7676	terpene	None
SID00543	SID00543_ctg3.region002	others10788	others3580	siderophore	None
SID00543	SID00543_ctg4.region001	terpene167	terpene7676	terpene	None
SID00543	SID00543_ctg5.region001	others3167	others3580	betalactone	Fengycin
SID00543	SID00543_ctg6.region001	ripps170	ripps3447	lassopeptide	Paeninodin
SID00482	SID00482_ctg0.region001	ripps9726	ripps6125	thiopeptide	O-antigen
SID00482	SID00482_ctg1.region001	others172	others3580	butyrolactone	None
SID00482	SID00482_ctg2.region001	nrps9693	nrps10750	NRPS	Turnerbactin
SID00482	SID00482_ctg3.region001	ripps3064	ripps3447	bacteriocin	None
SID00966	SID00966_ctg0.region001	nrps6073	nrps2554	NRPS	Pyoverdine
SID00966	SID00966_ctg1.region001	nrps176	nrps10750	NRPS-like	None
SID00966	SID00966_ctg2.region001	others5751	others3580	siderophore	None
SID00966	SID00966_ctg3.region001	others6050	others2553	NAGGN	None
SID00966	SID00966_ctg4.region001	nrps6311	nrps10750	NRPS	Pyoverdine
SID00966	SID00966_ctg5.region001	ripps6005	ripps6005	bacteriocin	None
SID00966	SID00966_ctg6.region001	nrps1528	nrps1528	NRPS-like	Mangotoxin
SID00966	SID00966_ctg7.region001	others1266	others4853	betalactone	Fengycin
SID00966	SID00966_ctg8.region001	others6527	others4416	arylpolyene	APE Vf
SID00851	SID00851_ctg0.region001	pksnrp3582	pksnrp10748	transAT-PKS;transAT-PKS-like;NRPS	Bacillaene
SID00851	SID00851_ctg1.region002	nrps5113	nrps5113	NRPS;transAT-PKS;betalactone	Fengycin
SID00851	SID00851_ctg2.region002	others3580	others3580	NRPS;transAT-PKS;betalactone	Fengycin
SID00851	SID00851_ctg3.region001	pksother3582	pksother10748	transAT-PKS;transAT-PKS-like;NRPS	Bacillaene
SID00851	SID00851_ctg4.region001	nrps3582	nrps10750	transAT-PKS;transAT-PKS-like;NRPS	Bacillaene
SID00851	SID00851_ctg5.region002	pksother12634	pksother3708	NRPS;transAT-PKS;betalactone	Fengycin
SID00851	SID00851_ctg6.region001	nrps4599	nrps5886	NRPS	Surfactin
SID00851	SID00851_ctg7.region001	terpene3573	terpene7676	terpene	None
SID00851	SID00851_ctg8.region001	nrps5117	nrps3579	NRPS	Surfactin
SID00851	SID00851_ctg9.region001	pksother5114	pksother5114	transAT-PKS	Difficidin
SID00851	SID00851_ctg10.region001	ripps190	ripps3447	lanthipeptide	Locillomycin
SID00851	SID00851_ctg11.region001	nrps4601	nrps10750	NRPS	Bacillibactin
SID00851	SID00851_ctg12.region001	pksother4984	pksother3708	PKS-like	Butirosin
SID00851	SID00851_ctg13.region001	others12702	others12702	other	Bacilysin
SID00851	SID00851_ctg14.region001	nrps8698	nrps8698	NRPS	Surfactin
SID00851	SID00851_ctg15.region001	others5494	others3580	ladderane	None
SID00851	SID00851_ctg16.region001	pksother8701	pksother8701	transAT-PKS-like	Difficidin
SID00851	SID00851_ctg17.region002	pksother10738	pksother10738	T3PKS	None
SID00851	SID00851_ctg18.region001	pksother8575	pksother3708	transAT-PKS	Macrolactin
SID00851	SID00851_ctg19.region001	terpene5116	terpene11261	terpene	None
SID00851	SID00851_ctg20.region001	pksother5498	pksother5498	transAT-PKS-like	Difficidin
SID00851	SID00851_ctg21.region001	nrps4598	nrps4598	NRPS	Plipastatin
SID00851	SID00851_ctg22.region001	nrps7545	nrps10750	NRPS	Fengycin
SID00851	SID00851_ctg23.region001	nrps5023	nrps10750	NRPS	None
SID00851	SID00851_ctg24.region001	nrps5144	nrps10750	NRPS	Locillomycin
SID00002	SID00002_ctg0.region002	others2553	others2553	NAGGN	None
SID00002	SID00002_ctg1.region001	nrps2554	nrps2554	NRPS	Pyoverdine
SID00002	SID00002_ctg2.region001	others1266	others4853	betalactone	Fengycin
SID00002	SID00002_ctg3.region002	others2622	others3580	hserlactone	None
SID00002	SID00002_ctg4.region001	others3681	others3580	other	Pyrrolnitrin
SID00002	SID00002_ctg5.region001	others2556	others4416	arylpolyene	APE Vf
SID00002	SID00002_ctg6.region001	others211	others211	resorcinol	Pyoverdine
